trace,n_events,n_pages,duration_s,event_rate_hz,n_flushes,n_clicks,n_keydowns,n_mousemoves,n_scrolls,n_app_events,iei_mean_ms,iei_median_ms,iei_std_ms
trial-001,356,6,87.84139990234375,4.0527587264749565,18,9,67,11,1,80,247.44056310519366,0.60009765625,1056.001636819693
trial-002,346,6,87.37230004882812,3.960065144292155,18,9,64,12,2,77,253.25304361979167,0.599853515625,1048.6001034050887
trial-003,333,6,84.80630004882812,3.9265950738125794,18,9,61,11,1,75,255.4406627976751,0.599853515625,1041.2692128197996
trial-004,356,6,82.0805,4.337205548211816,18,9,67,11,1,80,231.21267605633804,0.60009765625,976.5034709526985
trial-005,329,6,84.79560009765625,3.8799182931791476,18,9,60,11,1,74,258.52317102943977,0.60009765625,1049.4777531483037
trial-006,341,6,79.58330004882812,4.28481854598616,18,9,63,11,1,77,234.06852955537684,0.60009765625,954.3937272962883
trial-007,354,6,73.83710009765625,4.794337799450452,18,9,67,10,0,80,209.17025523415367,0.699951171875,896.203830145312
trial-008,340,6,87.92119995117187,3.867099177318135,18,9,63,11,1,76,259.35457212735065,0.60009765625,1125.2418925460029
trial-009,336,6,83.93709985351562,4.002997489624691,18,9,62,11,1,75,250.55850702541977,0.699951171875,1038.126519953117
trial-010,345,6,88.2205,3.910655686603454,18,9,64,11,1,78,256.4549418604651,0.60009765625,1073.6818416770607
trial-011,341,6,84.60789990234375,4.030356508004448,18,9,63,11,1,77,248.8467644186581,0.60009765625,1017.475768691943
trial-012,333,6,78.14389990234375,4.26136909491527,18,9,62,10,0,74,235.373192476939,0.699951171875,963.9618446044159
trial-013,317,6,84.08139990234375,3.770156067432028,18,9,57,11,1,71,266.0803794377967,0.7001953125,1048.6271992948618
trial-014,339,6,84.69459985351563,4.00261646653176,18,9,63,11,1,75,250.57573921158468,0.699951171875,1058.5610515452192
trial-015,329,6,80.98510009765624,4.062475685073846,18,9,60,11,1,74,246.9057929806593,0.699951171875,1007.1104406064131
trial-016,348,6,106.17759985351563,3.2775274679415105,18,9,65,11,1,78,305.98731946258107,0.60009765625,1235.9340338960076
trial-017,318,6,75.79880004882813,4.19531707355724,18,9,58,10,0,71,239.11293390797516,0.60009765625,981.8245812869213
trial-018,352,6,80.8735,4.35247639832578,18,9,66,11,1,79,230.4088319088319,0.699951171875,969.434043423568
trial-019,349,6,75.586,4.617257164025084,18,9,66,10,0,78,217.20114942528735,0.6500244140625,918.8515738996465
trial-020,329,6,79.74109985351562,4.125852297050993,18,9,60,11,1,74,243.11310930949887,0.699951171875,973.1932685007542
trial-021,331,6,86.96619995117187,3.806076385835458,18,9,61,11,1,73,263.5339392459754,0.60009765625,1081.8899814582483
trial-022,353,6,81.17919995117188,4.34840452002883,18,9,66,11,1,80,230.622727134011,0.60009765625,977.1003964948709
trial-023,312,6,87.238,3.5764231183658497,18,9,56,11,1,69,280.508038585209,0.699951171875,1091.751701415098
trial-024,348,6,84.3387998046875,4.126214752947651,18,9,65,11,1,78,243.05129626711096,0.599853515625,1003.9351149582009
trial-025,342,6,81.76490014648438,4.182723875248381,18,8,63,11,1,78,239.77976582546736,0.60009765625,980.1231583082829
trial-026,330,6,75.16769995117187,4.390183552434948,18,9,61,10,0,74,228.4732521312215,0.60009765625,946.6013578849676
trial-027,345,6,81.34790014648438,4.24104370707484,18,9,64,11,1,78,236.47645391419877,0.599853515625,977.7140905197698
trial-028,333,6,78.95230004882812,4.2177365294495015,18,9,61,11,1,75,237.80813267719316,0.60009765625,965.6048272501821
trial-029,348,6,81.60910009765625,4.264230331955275,18,9,65,11,1,78,235.184726506214,0.699951171875,969.4504685997179
trial-030,335,6,85.60580004882813,3.9132862470641188,18,9,62,11,1,74,256.30479056535364,0.699951171875,1057.5982203152778
