field,n_distinct,modal_value,stability,entropy,discriminative
ja3,20,135b770c875c319c3564deacfe0bcc39,0.3,3.8225797618136372,True
ak_stream_count,10,1,0.25,2.921185496574127,True
ja4_raw,6,t13d1516h2_8daaf6152771_d8a2da3f94cd,0.4666666666666667,1.953984548134838,True
ja4_a,6,t13d1516h2,0.4666666666666667,1.953984548134838,True
ja4_c,6,d8a2da3f94cd,0.4666666666666667,1.953984548134838,True
ja4_ext_count,5,16,0.4666666666666667,1.8621549647308315,True
ak_max_header_list,4,262144,0.4642857142857143,1.803007466093344,True
ak_header_table,4,65536,0.4642857142857143,1.803007466093344,True
cipher_seq_str,5,"2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53",0.5666666666666667,1.5730174851267524,True
ja4_b,5,8daaf6152771,0.5666666666666667,1.5730174851267524,True
ja4_cipher_count,5,15,0.5666666666666667,1.5730174851267524,True
cipher_no_grease_str,5,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,0.5666666666666667,1.5730174851267524,True
cipher_count,5,15,0.5666666666666667,1.5730174851267524,True
sig_count,4,8,0.5666666666666667,1.481187901722746,True
sig_seq_str,4,"1027,2052,1025,1283,2053,1281,2054,1537",0.5666666666666667,1.481187901722746,True
ak_window_update,4,15663105,0.6071428571428571,1.4540249128438882,True
ak_init_window,4,6291456,0.6071428571428571,1.4540249128438882,True
supported_ver_str,4,"2570,772,771",0.5666666666666667,1.4166856205984344,True
curve_seq_str,3,"2570,4588,29,23,24",0.5666666666666667,1.3248560371944282,True
curve_count,3,4,0.5666666666666667,1.3248560371944282,True
cipher_has_grease,2,True,0.5666666666666667,0.9871377743693011,True
curve_has_grease,2,True,0.5666666666666667,0.9871377743693011,True
has_pq_crypto,2,True,0.5666666666666667,0.9871377743693011,True
supported_ver_has_grease,2,True,0.5666666666666667,0.9871377743693011,True
ak_pseudo_order,2,"m,a,s,p",0.6428571428571429,0.9402859586677457,True
ak_enable_push,2,0,0.7142857142857143,0.8631205685637456,True
alpn_h2_position,2,0,0.7142857142857143,0.8631205685637456,True
alpn_preference,3,h2_first,0.8666666666666667,0.6746799231431282,True
ja4_alpn_code,3,h2,0.8666666666666667,0.6746799231431282,True
alpn_count,3,2,0.8666666666666667,0.6746799231431282,True
alpn_offered_str,3,"h2,http/1.1",0.8666666666666667,0.6746799231431282,True
negotiated_proto,3,h2,0.8666666666666667,0.6746799231431282,True
alpn_has_h2,2,True,0.8666666666666667,0.5665095065500199,True
supported_ver_count,3,2,0.9,0.560825176990402,True
supported_ver_names,3,"TLS 1.3,TLS 1.2",0.9,0.560825176990402,True
supported_ver_profile,3,TLS1.3+TLS1.2,0.9,0.560825176990402,True
alpn_has_http11,2,True,0.9,0.4689955935863958,True
supported_ver_has_tls11,2,False,0.9333333333333333,0.353359335018536,True
alpn_first,2,h2,0.9655172413793104,0.2163969324483793,True
supported_ver_has_tls12,2,True,0.9666666666666667,0.21084230031564677,True
supported_ver_has_tls13,2,True,0.9666666666666667,0.21084230031564677,True
ja4_sni,2,d,0.9666666666666667,0.21084230031564677,True
ja4_version,2,13,0.9666666666666667,0.21084230031564677,True
tls_version,2,TLS 1.3,0.9666666666666667,0.21084230031564677,True
supported_ver_13_before_12,1,True,1.0,-1.4428232973175175e-12,False
ja4_protocol,1,t,1.0,-1.4428232973175175e-12,False
